Geo. State,Type,Status,Submitted Date,Nominator,LD Summary,Subdivision
UT,O&G Nomination (EOI),Duplicate,2/28/2020,"Six For Six Land Services, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 033, N2
UT,O&G Nomination (EOI),Duplicate,2/28/2020,"Six For Six Land Services, Inc.",UT T0240S-R0020W SALT LAKE MER Section: 001, 1-4
UT,O&G Nomination (EOI),Duplicate,2/28/2020,"Six For Six Land Services, Inc.",UT T0250S-R0010W SALT LAKE MER Section: 001, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Duplicate,1/22/2020,Prairie Hills Oil and Gas L.L.C.,UT T0260S-R0180E SALT LAKE MER Section: 033, S2 EXCLUDING CANYONLANDS NATIONAL PARK
UT,O&G Nomination (EOI),Duplicate,1/22/2020,Prairie Hills Oil and Gas L.L.C.,UT T0260S-R0180E SALT LAKE MER Section: 033," S2SWNW, S2SENW, S2SWNE, S2SENE"
UT,O&G Nomination (EOI),Duplicate,1/22/2020,Prairie Hills Oil and Gas L.L.C.,UT T0260S-R0180E SALT LAKE MER Section: 035, S2 EXCLUDING NATIONAL PARK
UT,O&G Nomination (EOI),Duplicate,3/2/2020,Nominator,UT T0260S-R0230E SALT LAKE MER Section: 019, S2
UT,O&G Nomination (EOI),Duplicate,3/2/2020,Nominator,UT T0260S-R0230E SALT LAKE MER Section: 021, SE
UT,O&G Nomination (EOI),Duplicate,1/22/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0270S-R0200E SALT LAKE MER Section: 004, NWSW
UT,O&G Nomination (EOI),Leased,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 021, W2
UT,O&G Nomination (EOI),Leased,1/22/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0250S-R0200E SALT LAKE MER Section: 034, SESW
UT,O&G Nomination (EOI),Leased,1/15/2020,Nominator,UT T0290S-R0220E SALT LAKE MER Section: 004, SESE
UT,O&G Nomination (EOI),Pending,2/18/2020,"Turner Petroleum Land Services, Inc.",UT T0090N-R0130W SALT LAKE MER Section: 006, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/18/2020,"Turner Petroleum Land Services, Inc.",UT T0090N-R0130W SALT LAKE MER Section: 018, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/16/2020,"Robert L Bayless, Producer LLC",UT T0090S-R0170E SALT LAKE MER Section: 033, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/16/2020,"Robert L Bayless, Producer LLC",UT T0090S-R0170E SALT LAKE MER Section: 034, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/27/2020,"Robert L. Bayless, Producer LLC",UT T0090S-R0180E SALT LAKE MER Section: 033," N2NE, N2NW"
UT,O&G Nomination (EOI),Pending,2/18/2020,"Turner Petroleum Land Services, Inc.",UT T0100N-R0130W SALT LAKE MER Section: 031, Land within Old Railroad Grade
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 013," E2NW, N2SW"
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 014, NWNW
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 015, 1-7
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0160S-R0020E SALT LAKE MER Section: 015," NENE, S2NE, E2SW, N2SE, SWSE"
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 005,4
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 005," SWNW, W2SW, SESW, W2SE, SESE"
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 006, 1-5
UT,O&G Nomination (EOI),Pending,3/2/2020,Ram Land Services,UT T0180S-R0020E SALT LAKE MER Section: 006," S2NE, SENW"
UT,O&G Nomination (EOI),Pending,2/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 004, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 005, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 008, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 009, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/21/2020,Nominator,UT T0200S-R0010W SALT LAKE MER Section: 017," NE, NENW, S2NW, S2"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0010W SALT LAKE MER Section: 024," 11-21, 24-48"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0010W SALT LAKE MER Section: 025," 5-7, 9-25"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 001, 1-14
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 001, W2SE
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 003," 1, 2, 8"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 011," N2NE, SWNE, W2, SE2"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 012, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 013," 1, 2"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 013, S2NW
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 014," N2, SW, W2SE"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 015, SE
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 022, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 023," W2NE, SENE, W2, SE"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 024," SWNW, NWSW"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 026, N2NE
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 027," NWNE, N2NW"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 027, SWSW
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 028, S2
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 033," N2, SW, N2SE, SWSE"
UT,O&G Nomination (EOI),Pending,2/27/2020,Nominator,UT T0220S-R0020W SALT LAKE MER Section: 034, N2NW
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0220S-R0050E SALT LAKE MER Section: 024," S2SW, S2SE"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0220S-R0050E SALT LAKE MER Section: 025," W2, W2SE"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0220S-R0060E SALT LAKE MER Section: 018, SWSE
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0220S-R0060E SALT LAKE MER Section: 019," W2NE, NWSE"
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Services, Inc.",UT T0230S-R0010W SALT LAKE MER Section: 001," 1-8, 11, 12"
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Services, Inc.",UT T0230S-R0010W SALT LAKE MER Section: 014, SW
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Services, Inc.",UT T0230S-R0010W SALT LAKE MER Section: 023, W2
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Services, Inc.",UT T0230S-R0010W SALT LAKE MER Section: 026," W2, SE"
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Services, Inc.",UT T0230S-R0010W SALT LAKE MER Section: 035, N2
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 004," 3, 4"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 004," S2NW, SW"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 005, 1-3
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 005," S2NE, S2NW, S2"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 006," 6, 7"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 006," S2NE, E2SW, SE"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 007, 1-4
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 007," NE, E2NW, E2SW"
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 008, E2
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 009, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/23/2020,Uinta Metal Development Corp.,UT T0230S-R0060E SALT LAKE MER Section: 010, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 013, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 014, 1-2
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 014," NE, E2NW, SW"
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 015," 1-3, 5"
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 015," SENW, S2"
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 021, E2
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 022, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 023,1
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 023," N2, SW, N2SE, SWSE"
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 024," NE, NENW, S2NW, S2"
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 027," N2, NWSW, S2SW, SE"
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 028, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 033, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0170E SALT LAKE MER Section: 034, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 007, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 008, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 009, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 010, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 011, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 012, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 013, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 014, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 015, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 017, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 018, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 019, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 020, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 021, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 022, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 023, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 024, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 025, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 026, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 027, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 028, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 029, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 030, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 031, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 033, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 034, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0180E SALT LAKE MER Section: 035, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 007, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 018, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 019, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 020, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 028, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 029, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 030, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 031, 1-12
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 033, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,1/20/2020,"Prairie Hills Oil and Gas, L.L.C.",UT T0230S-R0190E SALT LAKE MER Section: 034, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 004, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 005, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 006, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 007, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 008, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 009," W2NE, SENE, W2, SE"
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 017, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/27/2020,"Hoover & Stacy, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 018, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Service, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 020, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Service, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 021, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Service, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 028, ALL SUBDIVISIONS
UT,O&G Nomination (EOI),Pending,2/28/2020,"Six For Six Land Service, Inc.",UT T0240S-R0010W SALT LAKE MER Section: 029, ALL SUBDIVISIONS
